,pcons,proq4,qmeanDisCo,seqlen,dan,FC,Neff,contact_L,DIS,FH,P
77,0.9690000000000001,0.12300000000000001,0.617,36.0,0.8640000000000001,0.44444444439999997,1.0,0.0,0.810419,0.5555555556,0.027777777799999997
78,0.946,0.12300000000000001,0.474,36.0,0.7440000000000001,0.44444444439999997,1.0,0.0,0.810419,0.5555555556,0.027777777799999997
79,0.9279999999999999,0.13,0.397,36.0,0.509,0.44444444439999997,1.0,0.0,0.810419,0.5555555556,0.027777777799999997
80,0.9740000000000001,0.315,0.33899999999999997,175.0,0.5589999999999999,0.6342857143,5.13213,0.16,0.604031,0.36571428570000003,0.14285714289999998
81,0.972,0.316,0.358,175.0,0.634,0.6342857143,5.13213,0.16,0.604031,0.36571428570000003,0.14285714289999998
82,0.966,0.319,0.335,175.0,0.536,0.6342857143,5.13213,0.16,0.604031,0.36571428570000003,0.14285714289999998
83,0.961,0.319,0.34,175.0,0.509,0.6342857143,5.13213,0.16,0.604031,0.36571428570000003,0.14285714289999998
84,0.961,0.311,0.326,175.0,0.494,0.6342857143,5.13213,0.16,0.604031,0.36571428570000003,0.14285714289999998
85,0.973,0.37200000000000005,0.7070000000000001,59.0,0.6509999999999999,0.2881355932,2.9717,0.3220338983050847,0.640506,0.7118644068000001,0.0338983051
86,0.968,0.376,0.7040000000000001,59.0,0.61,0.2881355932,2.9717,0.3220338983050847,0.640506,0.7118644068000001,0.0338983051
87,0.965,0.389,0.682,59.0,0.608,0.2881355932,2.9717,0.3220338983050847,0.640506,0.7118644068000001,0.0338983051
88,0.96,0.391,0.726,59.0,0.643,0.2881355932,2.9717,0.3220338983050847,0.640506,0.7118644068000001,0.0338983051
89,0.951,0.39299999999999996,0.701,59.0,0.596,0.2881355932,2.9717,0.3220338983050847,0.640506,0.7118644068000001,0.0338983051
90,0.965,0.332,0.816,65.0,0.857,0.10769230769999999,5.3650400000000005,0.015384615384615385,0.521424,0.8923076923000001,0.0
91,0.9620000000000001,0.327,0.8109999999999999,65.0,0.865,0.10769230769999999,5.3650400000000005,0.015384615384615385,0.521424,0.8923076923000001,0.0
92,0.941,0.317,0.66,65.0,0.581,0.10769230769999999,5.3650400000000005,0.015384615384615385,0.521424,0.8923076923000001,0.0
93,0.9390000000000001,0.316,0.772,65.0,0.746,0.10769230769999999,5.3650400000000005,0.015384615384615385,0.521424,0.8923076923000001,0.0
94,0.9229999999999999,0.332,0.7190000000000001,65.0,0.78,0.10769230769999999,5.3650400000000005,0.015384615384615385,0.521424,0.8923076923000001,0.0
95,0.963,0.385,0.484,121.0,0.508,0.173553719,1.81935,0.09090909090909091,0.18041600000000002,0.7851239669,0.0082644628
